"Title","Date"
"美∙EU서 강해지는 AI규제...국내 기업 대응은?"," 블로터언론사 선정2024.01.01.네이버뉴스 "
"“루머 폭격이 쏟아진다”… AI 가짜뉴스, 美 대선 위협"," 국민일보언론사 선정2023.12.31.네이버뉴스 "
"[ET 시론] AI법 제정, AI 발전과 안전 활용의 초석"," 전자신문24면 TOP2024.01.01.네이버뉴스 "
"AI 규제 나선 글로벌…한국도 '잰걸음'"," 뉴스토마토2024.01.01. "
"""글로벌 AI 규범 주도해야""…과기정통부, 각계 의견 수렴"," 아시아경제언론사 선정2023.12.28.네이버뉴스 "
"AI 정책정보 플랫폼 선보인 안종범"," 매일경제A25면 1단2023.12.31.네이버뉴스 "
"AI영재고, 반드시 국회 통과를"," 전남매일2024.01.01. "
"딥페이크 등 AI 악용한 가짜뉴스, 美 대선 위협한다"," 국민일보14면 TOP2024.01.01.네이버뉴스 "
"한국도 미국처럼 ‘AI가 만든 콘텐츠’에 워터마크 규제 추진할까?"," 디지털데일리2024.01.01.네이버뉴스 "
"‘AI 딥페이크 영상 워터마크 의무화법’ 발의"," 이데일리2023.12.31.네이버뉴스 "
"과기정통부, 인공지능 규범 의견수렴…“AI 법안 조속 제정”"," 이투데이2023.12.28. "
"AI영재고, 반드시 국회 통과를"," 전남매일2024.01.01. "
"올해의 인물 인공지능(AI), '혁신'과 '위험' 사이 그대는 어디쯤 있나요..."," 주간조선언론사 선정2023.12.29.네이버뉴스 "
"[ 2024 유망산업] '배터리·생성형 AI'"," 뉴스저널리즘2023.12.31. "
"AI 경쟁력 꽃 필 무렵...'포털 길들이기' 한파"," 지디넷코리아언론사 선정2023.12.29.네이버뉴스 "
"'교사 AI교육 재원' 법안, 교부금 '1%→0.8%'로 조정 유력"," 뉴시스언론사 선정2023.12.20.네이버뉴스 "
"AI 가짜뉴스 쓰나미… 47國 선거판 흔든다"," 서울신문언론사 선정1면 1단2023.12.28.네이버뉴스 "
"음악방송에 안무가 이름 표기…AI 창작물 저작권 등록은 금지"," 이데일리2023.12.27.네이버뉴스 "
"개인정보위 고학수 ""AI 고민 담은 가이드라인 새해 다수 발표"""," 지디넷코리아언론사 선정2023.12.26.네이버뉴스 "
"""선거 앞두고 AI 가짜뉴스 쓰나미처럼 덮칠 것""…전문가들 경고"," 연합뉴스2023.12.27.네이버뉴스 "
"AI 저작권 첫 가이드라인…""적절한 보상"" VS ""경쟁 뒤처져"""," 아시아경제14면 TOP2023.12.28.네이버뉴스 "
"[월클뉴스]AI로 날개 단 가짜뉴스…선거판세 휘젓고 목숨까지"," JTBC언론사 선정2023.12.27.네이버뉴스 "
"[2023 10대 뉴스-해외] EU, 세계최초 AI 규제법 통과"," 전자신문13면 2단2023.12.27.네이버뉴스 "
"'광주 AI영재고' 설립 법률 개정안 처리 내년으로 미뤄져"," 연합뉴스2023.12.28.네이버뉴스 "
"생성형 AI ‘챗봇’ 사용연령 낮추는 글로벌 빅테크"," 국민일보16면 TOP2023.12.26.네이버뉴스 "
"SKT 전화녹음・삼성 실시간 전화 통역...AI 서비스는 쏟아지는데 관련 법..."," 녹색경제신문2023.12.30. "
"고학수 “AI 산업, 속도조절 필요···한국적 생태계 만들어야”"," 경향신문2023.12.26.네이버뉴스 "
"애플, AI 학습용 뉴스 사용료로 651억원 낸다"," 조선일보A6면 1단2023.12.25.네이버뉴스 "
"[테크M 어워드] 테크M이 뽑은 올해의 키워드 'AI'"," 테크M2023.12.29. "
"[전문가 기고] 전략적 의사결정을 위한 생성형 AI의 9가지 경제적 영향"," 아이티데일리2023.12.31. "
"AI의 초지능화 위협…“이르면 5년 뒤 인간 초월 확률 50%”"," 한겨레언론사 선정2023.12.25.네이버뉴스 "
